"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.306350000E-1,2.009970993E-1,9.650253296E0,-1.493121386E0,9.767149020E0
3.331675000E-1,2.057827413E-1,9.652647018E0,-1.488335729E0,9.768883469E0
3.357008340E-1,2.201396823E-1,9.643074989E0,-1.488335729E0,9.759738725E0
3.382341150E-1,2.416750938E-1,9.635896683E0,-1.476371527E0,9.751337581E0
3.407665630E-1,2.679961324E-1,9.640682220E0,-1.452443361E0,9.753161914E0
3.432990630E-1,2.799602449E-1,9.631111145E0,-1.430907965E0,9.740850950E0
3.458323960E-1,2.871387303E-1,9.621540070E0,-1.438086390E0,9.732655055E0
3.483656770E-1,3.110669553E-1,9.611968994E0,-1.440479279E0,9.724283580E0
3.508981250E-1,3.254238665E-1,9.607182503E0,-1.428515077E0,9.718256616E0
3.534305730E-1,3.373879790E-1,9.619147301E0,-1.428515077E0,9.730492319E0
3.559639070E-1,3.661018610E-1,9.633503914E0,-1.447657704E0,9.748545587E0
3.584972400E-1,3.852444589E-1,9.635896683E0,-1.473978758E0,9.755589759E0
3.610296880E-1,3.948157430E-1,9.628718376E0,-1.490728498E0,9.751429049E0
3.635621360E-1,4.067798555E-1,9.638289452E0,-1.502692580E0,9.763205334E0
3.660954690E-1,4.019941986E-1,9.657432556E0,-1.533799291E0,9.786733019E0
3.686288020E-1,3.876372576E-1,9.664610863E0,-1.581655741E0,9.800846936E0
3.711612500E-1,3.661018610E-1,9.662218094E0,-1.624726534E0,9.804704247E0
3.736936980E-1,3.445664644E-1,9.659825325E0,-1.646261930E0,9.805158321E0
3.762270320E-1,3.230310678E-1,9.650253296E0,-1.658226132E0,9.797012384E0
3.787603130E-1,2.943171859E-1,9.640682220E0,-1.651047587E0,9.785465468E0
3.812927610E-1,2.823530734E-1,9.645467758E0,-1.627119422E0,9.785820821E0
3.838252610E-1,2.679961324E-1,9.640682220E0,-1.617548108E0,9.779112306E0
3.863585940E-1,2.416750938E-1,9.631111145E0,-1.607976794E0,9.767410000E0
3.888918750E-1,2.344966233E-1,9.628718376E0,-1.596012712E0,9.762912619E0
3.914243230E-1,2.201396823E-1,9.619147301E0,-1.603191137E0,9.754315870E0
3.939568230E-1,1.842473447E-1,9.616754532E0,-1.603191137E0,9.751212060E0
3.964901570E-1,1.627119333E-1,9.619147301E0,-1.600798368E0,9.752795773E0
3.990234380E-1,1.459621787E-1,9.623932838E0,-1.596012712E0,9.756466820E0
4.015558860E-1,1.196411327E-1,9.635896683E0,-1.588834286E0,9.766740156E0
4.040883340E-1,9.332008660E-2,9.655039787E0,-1.596012712E0,9.786509005E0
4.066216670E-1,7.417750359E-2,9.690931320E0,-1.612762451E0,9.824492602E0
4.091550000E-1,7.178468257E-2,9.714859962E0,-1.622333765E0,9.849650957E0
4.116874480E-1,7.178468257E-2,9.729216576E0,-1.641476393E0,9.866977904E0
4.142198960E-1,7.178468257E-2,9.741181374E0,-1.677368641E0,9.884803142E0
4.167532300E-1,7.178468257E-2,9.741181374E0,-1.715653777E0,9.891371769E0
4.192865110E-1,5.982056633E-2,9.724431038E0,-1.751546144E0,9.881095658E0
4.218189590E-1,4.546362907E-2,9.710074425E0,-1.756331801E0,9.867741062E0
4.243514590E-1,2.632104978E-2,9.690931320E0,-1.756331801E0,9.848834654E0
4.268847920E-1,1.196411345E-2,9.667003632E0,-1.749153376E0,9.823982893E0
4.294180730E-1,7.178467698E-3,9.638289452E0,-1.722832322E0,9.791058487E0
4.319505210E-1,-4.785645287E-3,9.623932838E0,-1.703689694E0,9.773569704E0
4.344830210E-1,-1.674975827E-2,9.619147301E0,-1.665404558E0,9.762266524E0
4.370163550E-1,-2.153540403E-2,9.604789734E0,-1.615155339E0,9.739670240E0
4.395496360E-1,-3.110669367E-2,9.600004196E0,-1.581655741E0,9.729474964E0
4.420820840E-1,-2.153540403E-2,9.611968994E0,-1.560120344E0,9.737781431E0
4.446145320E-1,1.196411345E-2,9.628718376E0,-1.545763373E0,9.752012362E0
4.471478650E-1,3.110669367E-2,9.635896683E0,-1.545763373E0,9.759142222E0
4.496811980E-1,4.307080805E-2,9.650253296E0,-1.562513232E0,9.776026359E0
4.522136460E-1,6.221338734E-2,9.674181938E0,-1.572084427E0,9.801281351E0
4.547460940E-1,9.092725813E-2,9.664610863E0,-1.576870084E0,9.792828506E0
4.572794270E-1,1.100698411E-1,9.667003632E0,-1.593619823E0,9.798096689E0
4.598127610E-1,1.100698411E-1,9.683753014E0,-1.610369682E0,9.817355974E0
4.623451570E-1,9.810572863E-2,9.690931320E0,-1.624726534E0,9.826673440E0
4.648776570E-1,9.092725813E-2,9.702896118E0,-1.607976794E0,9.835651998E0
4.674109900E-1,9.810572863E-2,9.693324089E0,-1.579262972E0,9.821620445E0
4.699442710E-1,1.148554832E-1,9.669396400E0,-1.560120344E0,9.795120929E0
4.724767190E-1,1.387837082E-1,9.650253296E0,-1.540977836E0,9.773497955E0
4.750092190E-1,1.531406492E-1,9.643074989E0,-1.533799291E0,9.765494743E0
4.775425520E-1,1.555334777E-1,9.631111145E0,-1.514656782E0,9.750727035E0
4.800758340E-1,1.579262912E-1,9.631111145E0,-1.502692580E0,9.748914175E0
4.826082820E-1,1.555334777E-1,9.635896683E0,-1.519442320E0,9.756198056E0
4.851407300E-1,1.459621787E-1,9.633503914E0,-1.543370605E0,9.757443079E0
4.876740630E-1,1.387837082E-1,9.621540070E0,-1.572084427E0,9.750115059E0
4.902073960E-1,1.316052526E-1,9.607182503E0,-1.600798368E0,9.740525191E0
4.927398440E-1,1.196411327E-1,9.600004196E0,-1.627119422E0,9.737654347E0
4.952722920E-1,1.004985496E-1,9.604789734E0,-1.643869162E0,9.744967502E0
4.978056250E-1,8.135596663E-2,9.609575272E0,-1.624726534E0,9.746296322E0
5.003389590E-1,7.896314561E-2,9.611968994E0,-1.612762451E0,9.746649981E0
5.028714070E-1,8.853443712E-2,9.628718376E0,-1.612762451E0,9.763250414E0
5.054038550E-1,7.896314561E-2,9.640682220E0,-1.610369682E0,9.774573104E0
5.079371880E-1,6.221338734E-2,9.657432556E0,-1.603191137E0,9.789795499E0
5.104704690E-1,5.742774159E-2,9.662218094E0,-1.581655741E0,9.790985207E0
5.130029170E-1,5.742774159E-2,9.662218094E0,-1.564906001E0,9.788293377E0
5.155354170E-1,4.546362907E-2,9.671789169E0,-1.576870084E0,9.799596519E0
5.180687500E-1,2.632104978E-2,9.669396400E0,-1.617548108E0,9.803794236E0
5.206020320E-1,1.914258115E-2,9.662218094E0,-1.655833244E0,9.803091791E0
5.231344800E-1,9.571290575E-3,9.655039787E0,-1.694118381E0,9.802546709E0
5.256669800E-1,0.000000000E0,9.635896683E0,-1.725225091E0,9.789121845E0
5.282003130E-1,7.178467698E-3,9.623932838E0,-1.725225091E0,9.777348128E0
5.307335940E-1,1.196411345E-2,9.616754532E0,-1.694118381E0,9.764842444E0
5.332660420E-1,1.435693540E-2,9.614361763E0,-1.670190215E0,9.758365313E0
5.357985420E-1,2.392822644E-3,9.626325607E0,-1.655833244E0,9.767698509E0
5.383318750E-1,-9.571290575E-3,9.621540070E0,-1.634297848E0,9.759357273E0
5.408651570E-1,-1.674975827E-2,9.614361763E0,-1.641476393E0,9.753495651E0
5.433976050E-1,-2.153540403E-2,9.623932838E0,-1.651047587E0,9.764553507E0
5.459300520E-1,-9.571290575E-3,9.616754532E0,-1.631905079E0,9.754238746E0
5.484633860E-1,-7.178467698E-3,9.621540070E0,-1.596012712E0,9.753017042E0
5.509966670E-1,-1.435693540E-2,9.631111145E0,-1.574477315E0,9.758969558E0
5.535291670E-1,-9.571290575E-3,9.635896683E0,-1.569691658E0,9.762915978E0
5.560616150E-1,-4.785645287E-3,9.657432556E0,-1.574477315E0,9.784937675E0
5.585949480E-1,-2.392822644E-3,9.659825325E0,-1.593619823E0,9.790396068E0
5.611282300E-1,2.392822690E-2,9.662218094E0,-1.610369682E0,9.795525589E0
5.636606770E-1,5.742774159E-2,9.662218094E0,-1.610369682E0,9.795664702E0
5.661931770E-1,8.853443712E-2,9.659825325E0,-1.610369682E0,9.793536346E0
5.687265110E-1,1.196411327E-1,9.664610863E0,-1.596012712E0,9.796237732E0
5.712597920E-1,1.387837082E-1,9.671789169E0,-1.584048629E0,9.801631329E0
5.737922400E-1,1.507478207E-1,9.683753014E0,-1.596012712E0,9.815551636E0
5.763247400E-1,1.746760458E-1,9.659825325E0,-1.612762451E0,9.795087532E0
5.788580730E-1,2.105683982E-1,9.635896683E0,-1.615155339E0,9.772592834E0
5.813913550E-1,2.416750938E-1,9.635896683E0,-1.605584025E0,9.771735352E0
5.839238020E-1,2.392822653E-1,9.638289452E0,-1.584048629E0,9.770521461E0
5.864562500E-1,2.297109663E-1,9.631111145E0,-1.550549030E0,9.757831281E0
5.889895840E-1,2.512463629E-1,9.604789734E0,-1.529013634E0,9.728976989E0
5.915229170E-1,2.727817893E-1,9.576076508E0,-1.529013634E0,9.701213011E0
5.940553650E-1,2.871387303E-1,9.554540634E0,-1.526620865E0,9.679993112E0
5.965878130E-1,3.038884699E-1,9.530612946E0,-1.519442320E0,9.655756640E0
5.991211460E-1,3.158525825E-1,9.530612946E0,-1.500299811E0,9.653146922E0
6.016544270E-1,3.134597540E-1,9.537791252E0,-1.476371527E0,9.656468913E0
6.041868750E-1,2.991028428E-1,9.544969559E0,-1.490728498E0,9.665307954E0
6.067193750E-1,2.823530734E-1,9.556933403E0,-1.526620865E0,9.682214137E0
6.092527090E-1,2.703889608E-1,9.566504478E0,-1.557727575E0,9.696269042E0
6.117859900E-1,2.512463629E-1,9.590433121E0,-1.574477315E0,9.722063104E0
6.143184380E-1,2.273181528E-1,9.611968994E0,-1.591227055E0,9.745441243E0
6.168509380E-1,1.914258152E-1,9.635896683E0,-1.612762451E0,9.771803899E0
6.193842710E-1,1.483550072E-1,9.669396400E0,-1.639083505E0,9.808457101E0
6.219175520E-1,1.052841991E-1,9.690931320E0,-1.660618901E0,9.832745789E0
6.244500000E-1,5.982056633E-2,9.705288887E0,-1.672582984E0,9.848540233E0
6.269824480E-1,2.632104978E-2,9.719645500E0,-1.691725612E0,9.865806454E0
6.295157820E-1,0.000000000E0,9.729216576E0,-1.706082582E0,9.877670421E0
